"country","percDiabetes","percDiabetes2011"
"Pakistan",0.31,7.9
"Kuwait",0.25,20.7
"French Polynesia",0.25,8.6
"Mauritius",0.23,14.8
"New Caledonia",0.23,8.6
"Northern Mariana Islands",0.23,
"Marshall Islands",0.23,21.8
"Nauru",0.23,20.4
"Kiribati",0.22,25.3
"Egypt",0.21,16.6
"Qatar",0.2,19.8
"Solomon Islands",0.2,15.3
"American Samoa",0.2,
"Tuvalu",0.2,19.2
"Sudan",0.19,8.6
"Saudi Arabia",0.19,19.6
"Malaysia",0.19,12.1
"Guam",0.19,8.6
"Fiji",0.18,10.9
"Mexico",0.17,15.6
"Papua New Guinea",0.17,7.6
"Palau",0.17,11.1
"United Arab Emirates",0.16,18.8
"Vanuatu",0.16,16.1
"Micronesia",0.16,15.7
"Saint Kitts and Nevis",0.16,8.5
"Turkey",0.15,7.9
"Syria",0.15,9.9
"Jordan",0.15,12.1
"Belize",0.15,17
"Tonga",0.15,12.7
"Bangladesh",0.14,10.5
"Oman",0.14,10.5
"Barbados",0.14,12.4
"Guatemala",0.13,9.3
"Puerto Rico",0.13,13
"Trinidad and Tobago",0.13,12.7
"Suriname",0.13,8.9
"Grenada",0.13,8.6
"Cayman Islands",0.13,12
"Bermuda",0.13,12
"Tanzania",0.12,2.8
"Zambia",0.12,4.8
"Singapore",0.12,9.5
"Comoros",0.12,8.4
"Guyana",0.12,16.7
"Curacao",0.12,
"Saint Lucia",0.12,8.4
"United States Virgin Islands",0.12,12.1
"Antigua and Barbuda",0.12,12.5
"Dominica",0.12,8.9
"China",0.11,8.8
"United States",0.11,9.4
"Indonesia",0.11,5.1
"South Africa",0.11,7
"Iraq",0.11,9.1
"Afghanistan",0.11,7.6
"Sri Lanka",0.11,7.5
"Chile",0.11,9.5
"Dominican Republic",0.11,8.1
"Jamaica",0.11,15.7
"Bahrain",0.11,19.5
"Brunei",0.11,9.4
"India",0.1,9
"Thailand",0.1,7.5
"Spain",0.1,6.3
"Venezuela",0.1,10.2
"Taiwan",0.1,
"Tunisia",0.1,9.5
"Albania",0.1,2.8
"Bhutan",0.1,5.7
"Andorra",0.1,5.4
"Brazil",0.09,10.1
"Iran",0.09,11.1
"Morocco",0.09,6.8
"Nepal",0.09,3.6
"North Korea",0.09,8.4
"Haiti",0.09,6.6
"Portugal",0.09,9.6
"Israel",0.09,7.4
"Serbia",0.09,7.7
"Nicaragua",0.09,11
"Libya",0.09,13.8
"Palestine",0.09,
"Costa Rica",0.09,9.6
"Uruguay",0.09,5.7
"Bosnia and Herzegovina",0.09,7.5
"Timor-Leste",0.09,7.5
"Cyprus",0.09,9.3
"Montenegro",0.09,7.7
"Maldives",0.09,9.2
"Bahamas",0.09,12.1
"Samoa",0.09,7.7
"Seychelles",0.09,12.1
"British Virgin Islands",0.09,8.6
"Colombia",0.08,9.8
"Canada",0.08,8.4
"Cuba",0.08,9.4
"Hong Kong",0.08,7.6
"Paraguay",0.08,6.5
"Lebanon",0.08,19.6
"Panama",0.08,9.4
"Macau",0.08,7.2
