,Country/Territory,2000,2011,2021,Latitud,Longitud
0,Africa,217888.0,387000.0,527155.5,11.5024338,17.7578122
1,Europe,460837.0,653000.0,670341.8,51.0,10.0
2,Middle East and North Africa,219800.0,356000.0,448205.9,33.874664800000005,35.566736330340206
3,North America and Caribbean,273800.0,322000.0,361387.9,43.70778905,-72.28883808717787
4,South and Central America,233013.0,289000.0,341253.8,33.2976546,-111.8199771
5,South-East Asia,664000.0,856000.0,1033408.9,-36.8624515,174.7207047
6,Western Pacific,1219457.0,1544000.0,1731706.0,-17.6602176,177.4049561
7,Afghanistan,0.0,13733.0,18579.7,33.7680065,66.2385139
8,Albania,1887.0,2172.4,2103.0,41.000028,19.9999619
9,Algeria,0.0,22619.9,27196.2,28.0000272,2.9999825
10,American Samoa,0.0,0.0,33.5,-14.297124,-170.7131481
11,Andorra,0.0,64.5,57.8,42.5407167,1.5732033
12,Angola,0.0,8362.6,14503.2,-11.8775768,17.5691241
13,Anguilla,0.0,8362.6,0.0,18.1954947,-63.0750234
14,Antigua and Barbuda,0.0,56.5,68.6,17.2234721,-61.9554608
15,Argentina,22831.0,26264.8,29757.1,-34.9964963,-64.9672817
16,Armenia,0.0,2138.6,2087.5,40.7696272,44.6736646
17,Aruba,41.0,78.1,78.8,12.51756625,-69.98186415210564
18,Australia,13131.0,15947.3,18168.8,-24.7761086,134.755
19,Austria,6041.0,6286.0,6778.6,47.59397,14.12456
20,Azerbaijan,0.0,6398.9,7058.0,40.3936294,47.7872508
21,Bahamas,183.0,235.9,274.7,24.7736546,-78.0000547
22,Bahrain,381.0,986.2,1328.4,26.1551249,50.5344606
23,Bangladesh,83797.0,87708.1,105257.8,24.4769288,90.2934413
24,Barbados,184.0,199.3,208.3,13.1500331,-59.5250305
25,Belarus,0.0,7239.1,6981.8,53.4250605,27.6971358
26,Belgium,7458.0,7768.5,8347.7,50.6402809,4.6667145
27,Belize,116.0,169.7,244.3,16.8259793,-88.7600927
28,Benin,0.0,4133.9,5874.4,9.5293472,2.2584408
29,Bermuda,37.0,45.3,44.5,32.30382,-64.7561647
30,Bhutan,0.0,443.2,509.0,27.549511,90.5119273
31,Bolivia (Plurinational State of),4130.0,5337.9,6951.2,-17.0568696,-64.9912286
32,Bosnia and Herzegovina,0.0,2875.6,2506.8,44.3053476,17.5961467
33,Botswana,0.0,1146.9,1361.6,-23.1681782,24.5928742
34,Brazil,102431.0,127994.8,149916.8,-10.3333333,-53.2
35,British Virgin Islands,11.0,14.8,20.1,18.4024395,-64.5661642
36,Brunei Darussalam,0.0,265.8,307.9,4.4137155,114.5653908
37,Bulgaria,6142.0,5744.6,5227.1,42.6073975,25.4856617
38,Burkina Faso,0.0,7421.6,9587.0,12.0753083,-1.6880314
39,Burundi,0.0,4352.5,5434.6,-3.426449,29.9324519
40,Cabo Verde,0.0,280.9,351.3,16.0000552,-24.0083947
41,Cambodia,0.0,8079.6,10169.2,12.5433216,104.8144914
42,Cameroon,6822.0,9676.4,12827.9,4.6125522,13.1535811
43,Canada,21389.0,25140.9,28352.3,61.0666922,-107.991707
44,Cayman Islands,24.0,35.8,43.9,19.703182249999998,-79.9174627243246
45,Central African Republic,0.0,2179.8,2176.2,7.0323598,19.9981227
46,Chad,0.0,2179.8,7131.9,15.6134137,19.0156172
47,Channel Islands,0.0,116.4,131.2,49.21230655,-2.1255999596428845
48,Chile,9405.0,11680.5,13762.5,-31.7613365,-71.3187697
49,China,847913.0,968974.9,1079960.8,35.000074,104.999927
50,"China, Hong Kong SAR",5067.0,5603.6,5921.4,22.350627,114.1849161
51,"China, Macao SAR",323.0,0.0,525.7,22.2862167,113.8904121
52,Colombia,23967.0,28724.0,34882.8,4.099917,-72.9088133
53,Comoros,0.0,358.5,449.3,-12.2045176,44.2832964
54,Congo,1257.0,2019.0,2729.4,-2.9814344,23.8222636
55,Cook Islands,0.0,11.8,0.0,-19.99697155,-157.78587140620786
56,Costa Rica,2286.0,3075.6,3603.3,10.2735633,-84.0739102
57,Croatia,3306.0,3313.6,3058.7,45.3658443,15.6575209
58,Cuba,7821.0,8264.8,8459.2,23.0131338,-80.8328748
59,Curaçao,0.0,0.0,117.7,12.21339425,-69.0408499890865
60,Cyprus,518.0,809.0,900.4,34.9823018,33.1451285
61,Czechia,7624.0,8049.5,8058.7,49.7439047,15.3381061
62,Côte d'Ivoire,6547.0,9676.6,12830.9,7.9897371,-5.5679458
