,#,Region,Country/Territory,2000,2011,2021,2030,2045,Type,Latitud,Longitud
0,1,Africa,Africa,"2,532.9","14,700.0","23,633.9","33,446.0","55,254.4",Region,11.5024338,17.7578122
1,2,Europe,Europe,"22,373.1","52,770.8","61,425.1","67,000.0","69,000.0",Region,51.0,10.0
2,3,Middle East and North Africa,Middle East and North Africa,"17,007.6","32,600.0","72,671.9","95,000.0","135,700.0",Region,33.874664800000005,35.566736330340206
3,4,North America and Caribbean,North America and Caribbean,"21,375.1","37,700.0","50,547.0","57,000.0","63,000.0",Region,43.70778905,-72.28883808717787
4,5,South and Central America,South and Central America,"8,553.3","25,121.5","32,497.1","40,000.0","49,000.0",Region,33.2976546,-111.8199771
5,6,South-East Asia,South-East Asia,"34,882.2","71,406.9","90,204.5","113,300.0","151,500.0",Region,-36.8624515,174.7207047
6,7,Western Pacific,Western Pacific,"44,097.9","131,895.1","205,640.2","238,300.0","260,200.0",Region,-17.6602176,177.4049561
7,8,Middle East and North Africa,Afghanistan,-,818.3,"1,606.7","2,172.8","3,530.7",Country,33.7680065,66.2385139
8,9,Europe,Albania,94.3,64.1,241.1,261.4,258.2,Country,41.000028,19.9999619
9,10,Middle East and North Africa,Algeria,-,"1,435.1","2,013.0","2,527.5","3,497.9",Country,28.0000272,2.9999825
10,11,Western Pacific,American Samoa,-,-,7.8,8.4,8.9,Country,-14.297124,-170.7131481
11,12,Europe,Andorra,-,4.8,8.0,8.7,8.9,Country,42.5407167,1.5732033
12,13,Africa,Angola,-,185.3,584.5,830.4,"1,453.6",Country,-11.8775768,17.5691241
13,14,North America and Caribbean,Anguilla,-,185.3,-,-,-,Country,18.1954947,-63.0750234
14,15,North America and Caribbean,Antigua and Barbuda,-,7.3,8.5,10.2,11.7,Country,17.2234721,-61.9554608
15,16,South and Central America,Argentina,760.9,"1,531.8","1,806.8","2,086.0","2,552.0",Country,-34.9964963,-64.9672817
16,17,Europe,Armenia,-,191.7,133.6,153.6,155.4,Country,40.7696272,44.6736646
17,18,North America and Caribbean,Aruba,5.0,11.7,4.1,3.9,3.7,Country,12.51756625,-69.98186415210564
18,19,Western Pacific,Australia,781.3,"1,292.1","1,491.8","1,693.0","1,935.2",Country,-24.7761086,134.755
19,20,Europe,Austria,232.3,571.0,447.1,477.6,497.3,Country,47.59397,14.12456
20,21,Europe,Azerbaijan,-,167.1,397.1,499.3,573.6,Country,40.3936294,47.7872508
21,22,North America and Caribbean,Bahamas,15.6,28.8,25.6,31.2,36.9,Country,24.7736546,-78.0000547
22,23,Middle East and North Africa,Bahrain,56.3,150.8,119.8,156.8,210.2,Country,26.1551249,50.5344606
23,24,South-East Asia,Bangladesh,"1,759.7","8,405.6","13,136.3","16,822.0","22,294.1",Country,24.4769288,90.2934413
24,25,North America and Caribbean,Barbados,24.2,29.1,38.8,42.6,41.6,Country,13.1500331,-59.5250305
25,26,Europe,Belarus,-,676.6,483.0,526.6,481.9,Country,53.4250605,27.6971358
26,27,Europe,Belgium,307.4,514.9,404.9,437.9,442.6,Country,50.6402809,4.6667145
27,28,North America and Caribbean,Belize,4.0,24.5,32.2,42.5,58.8,Country,16.8259793,-88.7600927
28,29,Africa,Benin,-,70.6,50.4,71.5,123.7,Country,9.5293472,2.2584408
29,30,North America and Caribbean,Bermuda,4.8,6.5,6.9,6.8,6.1,Country,32.30382,-64.7561647
30,31,South-East Asia,Bhutan,-,21.5,44.8,59.5,84.2,Country,27.549511,90.5119273
31,32,South and Central America,Bolivia (Plurinational State of),165.3,303.3,395.9,502.4,722.8,Country,-17.0568696,-64.9912286
32,33,Europe,Bosnia and Herzegovina,-,264.9,305.9,322.3,295.8,Country,44.3053476,17.5961467
33,34,Africa,Botswana,-,93.9,69.1,95.6,148.5,Country,-23.1681782,24.5928742
34,35,South and Central America,Brazil,"3,310.4","12,440.0","15,733.6","19,224.1","23,223.6",Country,-10.3333333,-53.2
35,36,North America and Caribbean,British Virgin Islands,1.4,1.3,1.9,3.1,3.4,Country,18.4024395,-64.5661642
36,37,Western Pacific,Brunei Darussalam,-,19.3,35.0,42.0,47.3,Country,4.4137155,114.5653908
37,38,Europe,Bulgaria,254.3,531.6,519.3,492.1,436.6,Country,42.6073975,25.4856617
38,39,Africa,Burkina Faso,-,175.1,164.4,230.7,389.5,Country,12.0753083,-1.6880314
39,40,Africa,Burundi,-,94.2,223.1,355.5,637.8,Country,-3.426449,29.9324519
40,41,Africa,Cabo Verde,-,13.1,7.3,9.6,12.1,Country,16.0000552,-24.0083947
41,42,Western Pacific,Cambodia,-,199.4,596.0,776.2,"1,094.6",Country,12.5433216,104.8144914
42,43,Africa,Cameroon,61.1,501.4,620.8,877.2,"1,484.5",Country,4.6125522,13.1535811
43,44,North America and Caribbean,Canada,"1,245.5","2,716.1","2,974.0","3,288.2","3,468.5",Country,61.0666922,-107.991707
44,45,North America and Caribbean,Cayman Islands,2.9,4.4,6.1,7.2,8.8,Country,19.703182249999998,-79.9174627243246
45,46,Africa,Central African Republic,-,58.2,96.9,130.3,223.9,Country,7.0323598,19.9981227
46,47,Africa,Chad,-,197.1,268.3,382.6,700.1,Country,15.6134137,19.0156172
47,48,Europe,Channel Islands,-,7.9,10.8,12.0,12.9,Country,49.21230655,-2.1255999596428845
48,49,South and Central America,Chile,131.1,"1,190.1","1,747.1","1,965.2","2,215.7",Country,-31.7613365,-71.3187697
49,50,Western Pacific,China,"22,564.8","90,045.1","140,869.6","164,069.5","174,433.5",Country,35.000074,104.999927
50,51,Western Pacific,"China, Hong Kong SAR",614.4,525.4,686.0,837.0,831.1,Country,22.350627,114.1849161
51,52,Western Pacific,"China, Macao SAR",34.5,32.7,50.9,69.5,81.3,Country,22.2862167,113.8904121
52,53,South and Central America,Colombia,946.9,"2,609.3","3,443.6","4,060.3","5,014.2",Country,4.099917,-72.9088133
53,54,Africa,Comoros,-,23.5,34.6,47.8,77.6,Country,-12.2045176,44.2832964
54,55,Africa,Congo,8.6,94.6,151.6,206.4,327.8,Country,-2.9814344,23.8222636
55,56,Western Pacific,Cook Islands,-,1.0,-,-,-,Country,-19.99697155,-157.78587140620786
56,57,South and Central America,Costa Rica,77.3,271.2,361.5,443.1,531.1,Country,10.2735633,-84.0739102
57,58,Europe,Croatia,174.1,218.8,212.7,213.2,193.9,Country,45.3658443,15.6575209
58,59,South and Central America,Cuba,668.9,939.0,761.3,782.3,750.9,Country,23.0131338,-80.8328748
59,60,North America and Caribbean,Curaçao,-,-,20.3,21.6,21.2,Country,12.21339425,-69.0408499890865
60,61,Europe,Cyprus,25.3,81.8,87.5,99.6,115.8,Country,34.9823018,33.1451285
61,62,Europe,Czechia,890.5,557.4,791.4,799.2,827.9,Country,49.7439047,15.3381061
62,63,Africa,Côte d'Ivoire,42.7,406.5,231.2,309.1,497.0,Country,7.9897371,-5.5679458
