,Paises,2000,2011,2021,Latitud,Longitud
7,Afghanistan,0,818,1606,33.7680065,66.2385139
8,Albania,94,64,241,41.000028,19.9999619
9,Algeria,0,1435,2013,28.0000272,2.9999825
10,American Samoa,0,0,7,-14.297124,-170.7131481
11,Andorra,0,4,8,42.5407167,1.5732033
12,Angola,0,185,584,-11.8775768,17.5691241
13,Anguilla,0,185,0,18.1954947,-63.0750234
14,Antigua and Barbuda,0,7,8,17.2234721,-61.9554608
15,Argentina,760,1531,1806,-34.9964963,-64.9672817
16,Armenia,0,191,133,40.7696272,44.6736646
17,Aruba,5,11,4,12.51756625,-69.98186415210564
18,Australia,781,1292,1491,-24.7761086,134.755
19,Austria,232,571,447,47.59397,14.12456
20,Azerbaijan,0,167,397,40.3936294,47.7872508
21,Bahamas,15,28,25,24.7736546,-78.0000547
22,Bahrain,56,150,119,26.1551249,50.5344606
23,Bangladesh,1759,8405,13136,24.4769288,90.2934413
24,Barbados,24,29,38,13.1500331,-59.5250305
25,Belarus,0,676,483,53.4250605,27.6971358
26,Belgium,307,514,404,50.6402809,4.6667145
27,Belize,4,24,32,16.8259793,-88.7600927
28,Benin,0,70,50,9.5293472,2.2584408
29,Bermuda,4,6,6,32.30382,-64.7561647
30,Bhutan,0,21,44,27.549511,90.5119273
31,Bolivia (Plurinational State of),165,303,395,-17.0568696,-64.9912286
32,Bosnia and Herzegovina,0,264,305,44.3053476,17.5961467
33,Botswana,0,93,69,-23.1681782,24.5928742
34,Brazil,3310,12440,15733,-10.3333333,-53.2
35,British Virgin Islands,1,1,1,18.4024395,-64.5661642
36,Brunei Darussalam,0,19,35,4.4137155,114.5653908
37,Bulgaria,254,531,519,42.6073975,25.4856617
38,Burkina Faso,0,175,164,12.0753083,-1.6880314
39,Burundi,0,94,223,-3.426449,29.9324519
40,Cabo Verde,0,13,7,16.0000552,-24.0083947
41,Cambodia,0,199,596,12.5433216,104.8144914
42,Cameroon,61,501,620,4.6125522,13.1535811
43,Canada,1245,2716,2974,61.0666922,-107.991707
44,Cayman Islands,2,4,6,19.703182249999998,-79.9174627243246
45,Central African Republic,0,58,96,7.0323598,19.9981227
46,Chad,0,197,268,15.6134137,19.0156172
47,Channel Islands,0,7,10,49.21230655,-2.1255999596428845
48,Chile,131,1190,1747,-31.7613365,-71.3187697
49,China,22564,90045,140869,35.000074,104.999927
50,"China, Hong Kong SAR",614,525,686,22.350627,114.1849161
51,"China, Macao SAR",34,32,50,22.2862167,113.8904121
52,Colombia,946,2609,3443,4.099917,-72.9088133
53,Comoros,0,23,34,-12.2045176,44.2832964
54,Congo,8,94,151,-2.9814344,23.8222636
55,Cook Islands,0,1,0,-19.99697155,-157.78587140620786
56,Costa Rica,77,271,361,10.2735633,-84.0739102
57,Croatia,174,218,212,45.3658443,15.6575209
58,Cuba,668,939,761,23.0131338,-80.8328748
59,Curaçao,0,0,20,12.21339425,-69.0408499890865
60,Cyprus,25,81,87,34.9823018,33.1451285
61,Czechia,890,557,791,49.7439047,15.3381061
62,Côte d'Ivoire,42,406,231,7.9897371,-5.5679458
63,Democratic People's Republic of Korea,0,1507,1847,40.3736611,127.0870417
64,Democratic Republic of the Congo,252,730,1908,-2.9814344,23.8222636
65,Denmark,561,299,309,55.670249,10.3333283
66,Djibouti,0,26,53,11.8145966,42.8453061
67,Dominica,5,3,6,19.0974031,-70.3028026
68,Dominican Republic,255,431,865,19.0974031,-70.3028026
69,Ecuador,209,524,526,-1.3397668,-79.3666965
70,Egypt,3384,7323,10930,26.2540493,29.2675469
71,El Salvador,161,293,291,13.8000382,-88.9140683
72,Equatorial Guinea,0,14,39,1.613172,10.5170357
73,Eritrea,0,95,94,15.9500319,37.9999668
74,Estonia,45,90,83,58.7523778,25.3319078
75,Eswatini,0,13,21,-26.5624806,31.3991317
76,Ethiopia,268,1377,1920,10.2116702,38.6521203
77,Faroe Islands,0,0,1,62.0448724,-7.0322972
78,Fiji,42,55,99,-18.1239696,179.0122737
79,Finland,158,340,392,63.2467777,25.9209164
80,France,1656,3237,3942,46.603354,1.8883335
81,French Guiana,0,12,0,3.94396215,-53.037301540206464
82,French Polynesia,0,14,52,-17.0243749,-144.6434898
83,Gabon,5,68,79,-0.8999695,11.6899699
84,Gambia,2,12,18,13.470062,-15.4900464
85,Georgia,247,104,190,32.3293809,-83.1137366
86,Germany,2600,5022,6199,51.1638175,10.4478313
87,Ghana,32,517,329,8.0300284,-1.0800271
88,Greece,468,603,736,38.9953683,21.9877132
89,Greenland,0,0,1,77.6192349,-42.8125967
90,Grenada,7,4,10,12.1360374,-61.6904045
91,Guadeloupe,0,23,0,16.2528827,-61.5686855
92,Guam,0,10,23,13.450125700000001,144.75755102972062
93,Guatemala,148,533,1149,15.5855545,-90.345759
94,Guinea,0,181,103,10.7226226,-10.7083587
95,Guinea-Bissau,0,19,16,11.815215,-15.2351044
96,Guyana,16,65,54,4.8417097,-58.6416891
97,Haiti,183,295,548,19.1399952,-72.3570972
98,Holy See,0,0,0,38.9247244,-77.06572732690151
99,Honduras,125,216,268,15.2572432,-86.0755145
100,Hungary,491,568,661,47.1817585,19.5060937
101,Iceland,3,8,20,64.9841821,-18.1059013
102,India,32674,61258,74194,22.3511148,78.6677428
103,Indonesia,5654,7291,19465,-2.4833826,117.8902853
104,Iran (Islamic Republic of),1323,4695,5450,32.6475314,54.5643516
105,Iraq,449,1089,2011,33.0955793,44.1749775
106,Ireland,80,191,139,52.865196,-7.9794599
107,Isle of Man,0,0,5,54.1936805,-4.5591148
108,Israel,273,400,536,30.8124247,34.8594762
109,Italy,3125,3560,4470,42.6384261,12.674297
110,Jamaica,118,258,231,18.1850507,-77.3947693
111,Japan,7113,10674,11005,36.5748441,139.2394179
112,Jordan,194,291,866,31.1667049,36.941628
113,Kazakhstan,139,801,807,48.1012954,66.7780818
114,Kenya,190,769,821,1.4419683,38.4313975
115,Kiribati,0,15,14,0.3448612,173.6641773
116,Kuwait,75,298,803,29.2733964,47.4979476
117,Kyrgyzstan,93,154,256,41.5089324,74.724091
118,Lao People's Democratic Republic,0,90,214,20.0171109,103.378253
119,Latvia,0,166,115,56.8406494,24.7537645
120,Lebanon,123,527,396,33.8750629,35.843409
121,Lesotho,0,29,48,-29.6039267,28.3350193
122,Liberia,0,51,47,5.7499721,-9.3658524
123,Libya,69,436,399,26.8234472,18.1236723
124,Liechtenstein,0,1,2,47.1416307,9.5531527
125,Lithuania,84,235,186,55.3500003,23.7499997
126,Luxembourg,12,21,34,49.8158683,6.1296751
127,Madagascar,75,428,535,-18.9249604,46.4416422
128,Malawi,0,352,486,-13.2687204,33.9301963
129,Malaysia,596,2029,4431,4.5693754,102.2656823
130,Maldives,0,15,27,3.7203503,73.2244152
131,Mali,18,99,152,16.3700359,-2.2900239
132,Malta,20,30,37,35.8885993,14.4476911
133,Marshall Islands,0,7,9,8.9995549,168.0002575
134,Martinique,0,43,0,14.6367927,-61.01582685063731
135,Mauritania,0,60,45,20.2540382,-9.2399263
136,Mauritius,112,138,250,-20.2759451,57.5703566
137,Mayotte,0,0,5,-12.825543,45.148490830203045
138,Mexico,4387,10293,14123,23.6585116,-102.0077097
139,Micronesia (Federated States of),0,7,8,38.9073892,-77.0405464
140,Monaco,0,2,2,43.7323492,7.4276832
141,Mongolia,0,117,150,46.8250388,103.8499736
142,Montenegro,0,41,54,42.9868853,19.5180992
143,Morocco,384,1267,2327,31.1728205,-7.3362482
144,Mozambique,117,294,349,-19.302233,34.9144977
145,Myanmar,0,2103,2346,17.1750495,95.9999652
146,Namibia,0,74,75,-23.2335499,17.3231107
147,Nauru,0,1,1,-0.5268357,166.9341755
148,Nepal,0,488,1133,28.1083929,84.0917139
149,Netherlands,415,881,857,52.2434979,5.6343227
150,Netherlands Antilles,14,20,0,12.1845,-68.6607922625
151,New Caledonia,0,14,49,-21.3019905,165.4880773
152,New Zealand,104,312,268,-41.5000831,172.8344077
153,Nicaragua,0,282,365,12.6090157,-85.2936911
154,Niger,0,283,423,17.7356214,9.3238432
155,Nigeria,209,3054,3623,9.6000359,7.9999721
156,Niue,0,0,0,-19.0536414,-169.861341
157,Northern Mariana Islands,0,0,8,15.1753648,145.7379338
158,North Macedonia,75,134,116,41.6171214,21.7168387
159,Norway,118,202,190,61.1529386,8.7876653
160,Oman,0,138,445,21.0000287,57.0036901
161,Pakistan,8789,6349,32964,30.3308401,71.247499
162,Palau,0,1,1,5.3783537,132.9102573
163,Panama,48,196,236,8.559559,-81.1308434
164,Papua New Guinea,378,216,724,-5.6816069,144.2489081
165,Paraguay,120,205,274,-23.3165935,-58.1693445
166,Peru,528,942,1300,-6.8699697,-75.0458515
167,Philippines,1242,4219,4303,12.7503486,122.7312101
168,Poland,1557,3057,2677,52.215933,19.134422
169,Portugal,397,1021,994,39.6621648,-8.1353519
170,Puerto Rico,223,388,413,18.2247706,-66.4858295
171,Qatar,30,216,394,25.3336984,51.2295295
172,Réunion,0,92,0,-21.130737949999997,55.536480112992315
173,Republic of Korea,1986,3186,3511,36.638392,127.6961188
174,Republic of Moldova,0,80,207,47.2879608,28.5670941
175,Romania,42,1506,1199,45.9852129,24.6859225
176,Russian Federation,0,12593,7392,64.6863136,97.7453061
177,Rwanda,0,126,297,-1.9646631,30.0644358
178,Saint Kitts and Nevis,3,2,6,17.250512,-62.6725973
179,Saint Lucia,0,8,15,13.8250489,-60.975036
180,Saint Vincent and the Grenadines,0,5,6,12.90447,-61.2765569
181,Samoa,0,6,7,-13.7693895,-172.12005
182,San Marino,0,1,2,43.9458623,12.458306
183,Sao Tome and Principe,0,3,6,0.9713095,7.02255
184,Saudi Arabia,996,2759,4274,25.6242618,42.3528328
185,Senegal,33,146,189,14.4750607,-14.4529612
186,Serbia,0,671,796,44.1534121,20.55144
187,Seychelles,0,3,6,-4.6574977,55.4540146
188,Sierra Leone,0,72,70,8.6400349,-11.8400269
189,Singapore,282,426,711,1.357107,103.8194992
190,Slovakia,324,275,349,48.7411522,19.4528646
191,Slovenia,119,160,137,46.1199444,14.8153333
192,Solomon Islands,0,34,53,-8.7053941,159.1070693851845
193,Somalia,0,185,376,8.3676771,49.083416
194,South Africa,886,1946,4234,-28.8166236,24.991639
195,South Sudan,0,0,246,7.8699431,29.6667897
196,Spain,2018,2840,5141,39.3260685,-4.8379791
197,Sri Lanka,335,1079,1417,7.877395849999999,80.66247852355892
198,State of Palestine,0,124,183,31.462420950000002,34.262716572130714
199,Sudan,414,1666,3526,14.5844444,29.4917691
200,Suriname,9,28,49,4.1413025,-56.0771187
201,Sweden,570,386,496,59.6749712,14.5208584
202,Switzerland,199,423,389,46.7985624,8.2319736
203,Syrian Arab Republic,538,889,1484,34.6401861,39.0494106
204,Taiwan,1206,1664,2457,23.9739374,120.9820179
205,Tajikistan,0,155,327,38.6281733,70.8156541
206,Thailand,1489,4014,6066,14.8971921,100.83273
207,Timor-Leste,0,30,46,-8.7443169,126.063482
208,Togo,9,81,75,8.7800265,1.0199765
209,Tokelau,0,0,0,-9.1676396,-171.819687
210,Tonga,7,6,7,-19.9160819,-175.202642
211,Trinidad and Tobago,70,117,148,10.7466905,-61.0840075
212,Tunisia,176,629,869,33.8439408,9.400138
213,Turkey,1834,3502,9020,38.9597594,34.9249653
214,Turkmenistan,0,69,223,39.3763807,59.3924609
215,Tuvalu,0,1,1,-8.6405212,179.1582918181797
216,Uganda,88,307,716,1.5333554,32.2166578
217,Ukraine,1286,1196,2325,49.4871968,31.2718321
218,United Arab Emirates,0,768,990,24.0002488,53.9994829
219,United Kingdom,1466,3063,3996,54.7023545,-3.2765753
220,United Republic of Tanzania,134,472,2884,-6.5247123,35.7878438
221,United States of America,15280,23721,32215,39.7837304,-100.445882
222,Uruguay,98,148,275,-32.8755548,-56.0201525
223,US Virgin Islands,0,11,12,17.789187,-64.7080574
224,Uzbekistan,0,812,1351,41.32373,63.9528098
225,Vanuatu,0,17,19,-16.5255069,168.1069154
226,Venezuela (Bolivarian Republic of),548,1674,2280,8.0018709,-66.1109318
227,Viet Nam,0,1702,3994,15.9266657,107.9650855
228,Yemen,0,727,613,16.3471243,47.8915271
229,Zambia,40,243,726,-14.5189121,27.5589884
230,Zimbabwe,55,550,106,-18.4554963,29.7468414
