"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","N/A","N/A","12,658.6","N/A","N/A","Region"
"2","Europe","Europe","N/A","N/A","21,935.0","N/A","N/A","Region"
"3","Middle East and North Africa","Middle East and North Africa","N/A","N/A","27,330.5","N/A","N/A","Region"
"4","North America and Caribbean","North America and Caribbean","N/A","N/A","12,224.9","N/A","N/A","Region"
"5","South and Central America","South and Central America","N/A","N/A","10,671.5","N/A","N/A","Region"
"6","South-East Asia","South-East Asia","N/A","N/A","46,230.3","N/A","N/A","Region"
"7","Western Pacific","Western Pacific","N/A","N/A","108,669.6","N/A","N/A","Region"
"8","Middle East and North Africa","Afghanistan","-","409.2","1,146.9","-","-","Country"
"9","Europe","Albania","-","23.0","95.4","-","-","Country"
"10","Middle East and North Africa","Algeria","-","883.6","810.1","-","-","Country"
"11","Western Pacific","American Samoa","-","-","4.0","-","-","Country"
"12","Europe","Andorra","-","1.7","2.7","-","-","Country"
"13","Africa","Angola","-","148.3","386.0","-","-","Country"
"14","North America and Caribbean","Anguilla","-","0.4","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","2.0","2.5","-","-","Country"
"16","South and Central America","Argentina","-","684.2","564.3","-","-","Country"
"17","Europe","Armenia","-","118.0","52.9","-","-","Country"
"18","North America and Caribbean","Aruba","-","3.2","1.2","-","-","Country"
"19","Western Pacific","Australia","-","603.5","372.9","-","-","Country"
"20","Europe","Austria","-","208.9","149.8","-","-","Country"
"21","Europe","Azerbaijan","-","60.0","157.2","-","-","Country"
"22","North America and Caribbean","Bahamas","-","-","7.4","-","-","Country"
"23","Middle East and North Africa","Bahrain","-","-","40.9","-","-","Country"
"24","South-East Asia","Bangladesh","-","-","5,712.3","-","-","Country"
"25","North America and Caribbean","Barbados","-","-","11.2","-","-","Country"
"26","Europe","Belarus","-","-","191.1","-","-","Country"
"27","Europe","Belgium","-","-","135.6","-","-","Country"
"28","North America and Caribbean","Belize","-","-","13.5","-","-","Country"
"29","Africa","Benin","-","-","26.8","-","-","Country"
"30","North America and Caribbean","Bermuda","-","-","2.0","-","-","Country"
"31","South-East Asia","Bhutan","-","-","19.5","-","-","Country"
"32","South and Central America","Bolivia (Plurinational State of)","-","-","147.7","-","-","Country"
"33","Europe","Bosnia and Herzegovina","-","-","121.1","-","-","Country"
"34","Africa","Botswana","-","-","36.8","-","-","Country"
"35","South and Central America","Brazil","-","-","5,025.3","-","-","Country"
"36","North America and Caribbean","British Virgin Islands","-","-","0.5","-","-","Country"
"37","Western Pacific","Brunei Darussalam","-","-","15.9","-","-","Country"
"38","Europe","Bulgaria","-","-","134.0","-","-","Country"
"39","Africa","Burkina Faso","-","-","94.7","-","-","Country"
"40","Africa","Burundi","-","-","128.5","-","-","Country"
"41","Africa","Cabo Verde","-","-","3.9","-","-","Country"
"42","Western Pacific","Cambodia","-","-","334.4","-","-","Country"
"43","Africa","Cameroon","-","-","330.7","-","-","Country"
"44","North America and Caribbean","Canada","-","-","1,123.3","-","-","Country"
"45","North America and Caribbean","Cayman Islands","-","-","1.8","-","-","Country"
"46","Africa","Central African Republic","-","-","55.8","-","-","Country"
"47","Africa","Chad","-","-","154.6","-","-","Country"
"48","Europe","Channel Islands","-","-","3.6","-","-","Country"
"49","South and Central America","Chile","-","-","545.6","-","-","Country"
"50","Western Pacific","China","-","-","72,839.5","-","-","Country"
"51","Western Pacific","China, Hong Kong SAR","-","-","372.0","-","-","Country"
"52","Western Pacific","China, Macao SAR","-","-","23.1","-","-","Country"
"53","South and Central America","Colombia","-","-","1,241.4","-","-","Country"
"54","Africa","Comoros","-","-","17.8","-","-","Country"
"55","Africa","Congo","-","-","80.8","-","-","Country"
"56","Western Pacific","Cook Islands","-","-","-","-","-","Country"
"57","South and Central America","Costa Rica","-","-","134.9","-","-","Country"
"58","Europe","Croatia","-","-","71.3","-","-","Country"
"59","South and Central America","Cuba","-","-","284.0","-","-","Country"
"60","North America and Caribbean","Curaçao","-","-","5.9","-","-","Country"
"61","Europe","Cyprus","-","-","32.0","-","-","Country"
"62","Europe","Czechia","-","-","265.1","-","-","Country"
"63","Africa","Côte d'Ivoire","-","-","123.1","-","-","Country"
"64","Western Pacific","Democratic People's Republic of Korea","-","-","1,030.8","-","-","Country"
"65","Africa","Democratic Republic of the Congo","-","-","1,099.5","-","-","Country"
"66","Europe","Denmark","-","-","103.6","-","-","Country"
"67","Africa","Djibouti","-","-","28.6","-","-","Country"
"68","North America and Caribbean","Dominica","-","-","2.2","-","-","Country"
"69","South and Central America","Dominican Republic","-","-","322.8","-","-","Country"
"70","South and Central America","Ecuador","-","-","105.3","-","-","Country"
"71","Middle East and North Africa","Egypt","-","-","6,779.2","-","-","Country"
"72","South and Central America","El Salvador","-","-","108.7","-","-","Country"
"73","Africa","Equatorial Guinea","-","-","21.0","-","-","Country"
"74","Africa","Eritrea","-","-","54.2","-","-","Country"
"75","Europe","Estonia","-","-","40.9","-","-","Country"
"76","Africa","Eswatini","-","-","11.6","-","-","Country"
"77","Africa","Ethiopia","-","-","1,105.9","-","-","Country"
"78","Europe","Faroe Islands","-","-","0.6","-","-","Country"
"79","Western Pacific","Fiji","-","-","51.1","-","-","Country"
"80","Europe","Finland","-","-","73.7","-","-","Country"
"81","Europe","France","-","-","1,098.6","-","-","Country"
"82","South and Central America","French Guiana","-","-","-","-","-","Country"
"83","Western Pacific","French Polynesia","-","-","23.6","-","-","Country"
"84","Africa","Gabon","-","-","42.1","-","-","Country"
"85","Africa","Gambia","-","-","10.4","-","-","Country"
"86","Europe","Georgia","-","-","75.4","-","-","Country"
"87","Europe","Germany","-","-","1,345.4","-","-","Country"
"88","Africa","Ghana","-","-","175.4","-","-","Country"
"89","Europe","Greece","-","-","249.6","-","-","Country"
"90","Europe","Greenland","-","-","0.6","-","-","Country"
"91","North America and Caribbean","Grenada","-","-","3.5","-","-","Country"
"92","North America and Caribbean","Guadeloupe","-","-","-","-","-","Country"
"93","Western Pacific","Guam","-","-","10.6","-","-","Country"
"94","South and Central America","Guatemala","-","-","561.1","-","-","Country"
"95","Africa","Guinea","-","-","59.7","-","-","Country"
"96","Africa","Guinea-Bissau","-","-","9.7","-","-","Country"
"97","North America and Caribbean","Guyana","-","-","18.9","-","-","Country"
"98","North America and Caribbean","Haiti","-","-","161.3","0.0","0.0","Country"
"99","Europe","Holy See","-","-","0.0","-","-","Country"
"100","South and Central America","Honduras","-","-","134.1","-","-","Country"
"101","Europe","Hungary","-","-","110.3","-","-","Country"
"102","Europe","Iceland","-","-","6.7","-","-","Country"
"103","South-East Asia","India","-","-","39,397.4","-","-","Country"
"104","Western Pacific","Indonesia","-","-","14,341.9","-","-","Country"
"105","Middle East and North Africa","Iran (Islamic Republic of)","-","-","1,911.5","-","-","Country"
"106","Middle East and North Africa","Iraq","-","-","946.4","-","-","Country"
"107","Europe","Ireland","-","-","46.6","-","-","Country"
"108","Europe","Isle of Man","-","-","1.7","-","-","Country"
