"Año";"Periodo";"Parámetro";"2011";"2021";"2030";"2045"
"2021";"Año";"Afganistán";"818,3";"1.606,7";"2.172,8";"3.530,7"
"2021";"Año";"Albania";"64,1";"241,1";"261,4";"258,2"
"2021";"Año";"Alemania";"5.022,2";"6.199,9";"6.519,7";"6.094,4"
"2021";"Año";"Andorra";"4,8";"8";"8,7";"8,9"
"2021";"Año";"Angola";"185,3";"584,5";"830,4";"1.453,6"
"2021";"Año";"Antigua y Barbuda";"7,3";"8,5";"10,2";"11,7"
"2021";"Año";"Arabia Saudita";"2.759,6";"4.274,1";"5.631";"7.537,3"
"2021";"Año";"Argelia";"1.435,1";"2.013";"2.527,5";"3.497,9"
"2021";"Año";"Argentina";"1.531,8";"1.806,8";"2.086";"2.552"
"2021";"Año";"Armenia";"191,7";"133,6";"153,6";"155,4"
"2021";"Año";"Aruba";"11,7";"4,1";"3,9";"3,7"
"2021";"Año";"Australia";"1.292,1";"1.491,8";"1.693";"1.935,2"
"2021";"Año";"Austria";"571";"447,1";"477,6";"497,3"
"2021";"Año";"Azerbaiyán";"167,1";"397,1";"499,3";"573,6"
"2021";"Año";"Bahamas";"28,8";"25,6";"31,2";"36,9"
"2021";"Año";"Bahréin";"150,8";"119,8";"156,8";"210,2"
"2021";"Año";"Bangladesh";"8.405,6";"13.136,3";"16.822";"22.294,1"
"2021";"Año";"Barbados";"29,1";"38,8";"42,6";"41,6"
"2021";"Año";"Bélgica";"514,9";"404,9";"437,9";"442,6"
"2021";"Año";"Belice";"24,5";"32,2";"42,5";"58,8"
"2021";"Año";"Benin";"70,6";"50,4";"71,5";"123,7"
"2021";"Año";"Bermudas";"6,5";"6,9";"6,8";"6,1"
"2021";"Año";"Bielorrusia";"676,6";"483";"526,6";"481,9"
"2021";"Año";"Bolivia";"303,3";"395,9";"502,4";"722,8"
"2021";"Año";"Bosnia y Herzegovina";"264,9";"305,9";"322,3";"295,8"
"2021";"Año";"Botswana";"93,9";"69,1";"95,6";"148,5"
"2021";"Año";"Brasil";"12.440";"15.733,6";"19.224,1";"23.223,6"
"2021";"Año";"Brunei Darussalam";"19,3";"35";"42";"47,3"
"2021";"Año";"Bulgaria";"531,6";"519,3";"492,1";"436,6"
"2021";"Año";"Burkina Faso";"175,1";"164,4";"230,7";"389,5"
"2021";"Año";"Burundi";"94,2";"223,1";"355,5";"637,8"
"2021";"Año";"Bután";"21,5";"44,8";"59,5";"84,2"
"2021";"Año";"Cabo Verde";"13,1";"7,3";"9,6";"12,1"
"2021";"Año";"Camboya";"199,4";"596";"776,2";"1.094,6"
