"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","N/A","5.9","7.7","N/A","N/A","Region"
"2","Europe","Europe","13.5","17.9","24.7","N/A","N/A","Region"
"3","Middle East and North Africa","Middle East and North Africa","10.9","10.8","18.1","N/A","N/A","Region"
"4","North America and Caribbean","North America and Caribbean","11.4","14.6","18.7","N/A","N/A","Region"
"5","South and Central America","South and Central America","7.6","5.5","9.5","N/A","N/A","Region"
"6","South-East Asia","South-East Asia","21.1","18.0","20.5","N/A","N/A","Region"
"7","Western Pacific","Western Pacific","9.2","5.0","9.1","N/A","N/A","Region"
"8","Middle East and North Africa","Afghanistan","-","-","0.4","-","-","Country"
"9","Europe","Albania","0.0","0.0","0.0","-","-","Country"
"10","Middle East and North Africa","Algeria","-","0.1","4.9","-","-","Country"
"11","Western Pacific","American Samoa","-","-","0.0","-","-","Country"
"12","Europe","Andorra","-","-","0.0","-","-","Country"
"13","Africa","Angola","-","-","0.3","-","-","Country"
"14","North America and Caribbean","Anguilla","-","-","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","0.0","0.0","-","-","Country"
"16","South and Central America","Argentina","0.8","0.1","0.7","-","-","Country"
"17","Europe","Armenia","-","-","0.0","-","-","Country"
"18","North America and Caribbean","Aruba","-","-","0.0","-","-","Country"
"19","Western Pacific","Australia","0.5","0.2","1.2","-","-","Country"
"20","Europe","Austria","0.1","0.0","0.3","-","-","Country"
"21","Europe","Azerbaijan","-","-","0.2","-","-","Country"
"22","North America and Caribbean","Bahamas","0.0","0.0","0.0","-","-","Country"
"23","Middle East and North Africa","Bahrain","0.0","-","0.0","-","-","Country"
"24","South-East Asia","Bangladesh","2.7","-","0.6","-","-","Country"
"25","North America and Caribbean","Barbados","0.0","0.0","0.0","-","-","Country"
"26","Europe","Belarus","-","0.1","0.1","-","-","Country"
"27","Europe","Belgium","0.2","0.2","0.4","-","-","Country"
"28","North America and Caribbean","Belize","0.0","-","0.0","-","-","Country"
"29","Africa","Benin","-","-","0.1","-","-","Country"
